10,16.7,63.1,3.1,24.2,9.6,11.7,12.3,19.9,17.9,69.5,22.3,29.2,25.2,77.5,20.6,27.2,30.6,46.7,12.4,28.5,64.9,50.8,52.2,55.2,37.4,60.8,36.9,36
26.9,8.4,53.5,50.1,33.8,26.8,41.7,98.8,35.6,58.4,19.8,61.6,36.3,73.8,52.5,20.6,25.8,29,53.9,31.7,22.1,24.1,22.5,6.7,7.4,20.3,67.2,14.8,8.4
17.6,65.9,69.2,38.1,57.4,84.9,80.7,21.1,31.5,19.4,61.4,37.5,21.1,30.9,29.9,82.8,19.5,53.2,47.7,31.7,40.5,33.9,43.1,27.2,42.2,42.3,35.7,39.8,22.2
24.7,50.9,39.9,37.3,38.1,49.7,42.2,41.9,37.7,38,42.3,47.9,41.3,41.5,57.3,44.1,43.5,49,40.5,22.4,33.6,33.9,45.5,29.9,42.4,39.6,14.6,29.7,41.1
14.6,38.6,50.5,47.6,2.9,38.7,49.3,32.4,17,31.3,52.9,30.2,31.7,41.7,72.6,73.2,11.2,79.8,67.7,20.8,35.4,23.1,14.9,7.9,56.1,7.8,4.6,4,27
2.5,10.2,39.3,10.5,12.3,9.3,18.8,14.7,51.5,9.1,25.1,36.4,14.5,11.1,13,12.5,10.1,24.3,22.2,11.2,14.8,20.2,49.4,17.8,16.5,16.4,20.6,10.2,1.9
22.3,44.2,39.5,27.3,23.6,48.2,45.1,30.9,37.6,36.5,42.9,41.4,31.7,45.3,35,46.7,46.9,44.9,43.5,28,33.1,42.2,45.7,34.6,43.4,43.4,28.9,39,28.4
6.2,52.8,47.6,43.5,32.3,59.3,30.7,43.6,35.3,34.1,47.6,56.8,39.6,53,49.8,41.4,69.6,52.5,34.3,50.9,47.9,49.6,35.5,47.9,44.7,63.9,41,41.2,35
39.8,25.5,46.8,38.9,31.5,21.2,25.3,31.9,74.2,30.5,53.7,34,28.3,51.6,83.6,64.9,24.5,59.9,20.3,10.4,44.2,45,52.1,30,31.9,55.2,58.1,57,32.6
12.3,10.3,7.7,9.4,12.4,11.4,17.4,27.8,21.2,11.3,29.9,28.9,25.7,13.7,21.2,27.2,33.3,35.9,28.9,17.2,23.5,28.1,26.4,28.8,32.5,37.7,31.9,20.1,18.3
20.7,15.4,13.7,15.1,17.4,12.5,50.4,28.2,15.8,5.5,13.9,23.5,33.4,78,29.5,51.3,15.6,55.7,20.7,8.2,26.8,41.4,26.3,34.1,22.8,39.3,43.6,28.5,25.9
26,21.5,17.4,53.4,52.8,23.5,32.6,18.7,33.6,39.3,17.2,61,5.3,12.7,29.9,55.1,34.8,39.4,61,22.3,30.6,49.1,39.8,18.9,13.7,7.5,17.9,29.7,49.3
32.7,14.4,22.5,44.5,30.3,47.3,42.8,29.2,47.2,17.3,65.4,17.9,63,42.8,76.8,62,86.9,67.5,65.8,13.3,68.4,93.8,37.7,25.7,47.8,66.8,30.5,37.8,41.6
10.8,21.7,40.4,22.2,23.6,38.9,42.3,48.2,31.9,25.7,46.4,54.3,43,40.9,47.1,57.1,21.6,29.2,33,17.4,18.3,23.3,23.8,27.5,21.5,39.4,54.1,15.6,39.9
17.2,36.4,25.9,10.9,22.8,20.7,39.5,2.9,25.8,23.2,59.2,31.5,4.9,8.1,31.3,16.6,57.8,67.1,33,26.5,23.7,27.2,22.2,62.1,29.1,8,28.2,61.1,30.6
4.4,72.1,9.9,18,3.3,82.7,9.3,10.7,23.9,4.4,3.4,24.9,23.6,1.4,37,9.3,2.3,10.1,20.5,19.6,47.1,65.2,30.8,7.2,13.9,18.7,29.3,7.3,0
10.1,4.9,26.9,5.6,26.2,4.2,10.8,23.8,11.3,3.3,8.8,7.9,18.2,11.8,11.7,16.6,12.6,26.7,12.6,19.9,14.3,17.6,27.5,34.6,17.2,20,21.2,13.7,15
23.5,66.8,16.3,31.4,10.1,40.5,14.1,6.1,32.5,14.8,82,13.2,19.6,6.3,75.9,33.2,10.3,13,7.6,13.9,14.7,29.7,17.4,28.9,45.5,23,5.4,13.4,3.7
14.3,26.9,44.6,30.2,5.9,54.1,64.1,23.9,7.9,19.1,56.8,53.8,21.4,75.4,92.4,52,18.2,42.7,37,8.1,38,53.1,42.9,2.3,44.8,63.5,8.7,6.1,10.4
1.4,25.4,33.3,43.6,12.1,20.8,47.2,27.5,2.1,20.5,39.8,62.9,2,12.9,44.5,28.4,1.3,54.9,37.3,3.5,20.6,46.3,17.2,6.3,13.1,27.5,8,1.1,4.9
9.4,10.1,45.5,10.6,13.8,12.3,27.5,21.9,41.7,14,71.1,19.3,7,44.6,25.2,26.5,14.6,59.1,41,58.6,93.1,45.7,7.8,19.7,46.7,25.3,27.8,39.7,25.4
