"year","months","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","state"
"2019","April-June",33.22,7.28,1.82333333333333,0.423333333333333,18.56,"Arizona"
"2019","July-September",36,15.5,-1.38,1.11666666666667,26.22,"Arizona"
"2019","October-December",24.5,-0.22,0.426666666666667,1.53666666666667,10.8,"Arizona"
"2020","January-March",17.33,-0.72,1.40666666666667,1.31,8.26,"Arizona"
"2020","April-June",34.17,6.67,1.24666666666667,0.17,20.48,"Arizona"
"2020","July-September",37.44,15.17,-2.39,0.473333333333333,27.13,"Arizona"
"2020","October-December",28.61,-2.39,-4.13,0.233333333333333,12.17,"Arizona"
"2021","January-March",17.56,-1.39,-4.10666666666667,0.756666666666667,7.91,"Arizona"
"2021","April-June",36.06,7.56,-5.17333333333333,0.15,21.07,"Arizona"
"2021","July-September",34.56,16,-3.15,2.43,25.85,"Arizona"
"2021","October-December",23.56,0.89,-2.93,0.853333333333333,12.09,"Arizona"
"2022","January-March",19.39,-1.44,-3.29333333333333,0.426666666666667,8.09,"Arizona"
"2022","April-June",34.5,7,-4.58,0.24,20.76,"Arizona"
"2015","January-March",15.11,-3.28,-0.09,4.89666666666667,5.26,"Arkansas"
"2015","April-June",31,11.17,1.83666666666667,6.76666666666667,21.09,"Arkansas"
"2015","July-September",33.11,17.11,1.78666666666667,3.13666666666667,25.7,"Arkansas"
"2015","October-December",24.39,4,2.16333333333333,7.63666666666667,13.28,"Arkansas"
"2016","January-March",19.33,-1.33,2.22666666666667,4.78,8.5,"Arkansas"
"2016","April-June",31.78,10.83,2.22333333333333,4.48,20.85,"Arkansas"
"2016","July-September",33.33,17.89,1.34666666666667,4.68,26.26,"Arkansas"
"2016","October-December",26.44,0.44,-1.56333333333333,2.87333333333333,12.81,"Arkansas"
"2017","January-March",19.56,2.28,-2.20333333333333,3.44666666666667,10.63,"Arkansas"
"2017","April-June",29.67,11.67,1.18666666666667,6.52333333333333,20.63,"Arkansas"
"2017","July-September",32.56,16.33,1.26666666666667,4.07666666666667,24.94,"Arkansas"
"2017","October-December",24.5,0.22,-1.54666666666667,2.70666666666667,11.67,"Arkansas"
"2018","January-March",18.61,-3.72,0.923333333333333,6.65333333333333,7.31,"Arkansas"
"2018","April-June",32.78,6.11,0.0333333333333332,3.76,21.17,"Arkansas"
"2018","July-September",33.61,19,0.1,4.99666666666667,25.85,"Arkansas"
"2018","October-December",22.44,2,2.04333333333333,6.03,10.48,"Arkansas"
