year_revisited,state,season,colony_lost_pct
2016,Utah,Summer,14.5
2016,Utah,Winter,10.5
2016,Vermont,Summer,6.0
2016,Vermont,Winter,11.5
2016,Virginia,Summer,7.0
2016,Virginia,Winter,13.5
2016,Washington,Summer,5.5
2016,Washington,Winter,8.5
2016,West Virginia,Summer,8.5
2016,West Virginia,Winter,16.0
2016,Wisconsin,Summer,11.5
2016,Wisconsin,Winter,13.5
2016,Wyoming,Summer,14.0
2016,Wyoming,Winter,6.0
2017,Alabama,Summer,8.0
2017,Alabama,Winter,16.0
2017,Arizona,Summer,14.0
2017,Arizona,Winter,20.0
2017,Arkansas,Summer,16.0
2017,Arkansas,Winter,13.5
2017,California,Summer,8.5
2017,California,Winter,13.5
2017,Colorado,Summer,11.0
2017,Colorado,Winter,10.0
2017,Connecticut,Summer,4.5
2017,Connecticut,Winter,10.0
2017,Florida,Summer,16.0
2017,Florida,Winter,12.5
2017,Georgia,Summer,10.0
2017,Georgia,Winter,10.5
2017,Hawaii,Summer,4.0
2017,Hawaii,Winter,4.0
2017,Idaho,Summer,11.0
2017,Idaho,Winter,10.0
2017,Illinois,Summer,9.0
2017,Illinois,Winter,17.0
2017,Indiana,Summer,9.0
2017,Indiana,Winter,20.5
2017,Iowa,Summer,7.0
2017,Iowa,Winter,14.0
2017,Kansas,Summer,16.0
2017,Kansas,Winter,26.0
2017,Kentucky,Summer,13.0
2017,Kentucky,Winter,16.0
2017,Louisiana,Summer,13.0
2017,Louisiana,Winter,5.0
2017,Maine,Summer,4.5
2017,Maine,Winter,20.0
2017,Maryland,Summer,10.5
2017,Maryland,Winter,14.0
2017,Massachusetts,Summer,5.0
2017,Massachusetts,Winter,27.0
2017,Michigan,Summer,11.0
2017,Michigan,Winter,10.0
2017,Minnesota,Summer,9.5
2017,Minnesota,Winter,10.5
2017,Mississippi,Summer,8.0
2017,Mississippi,Winter,6.0
2017,Missouri,Summer,4.5
2017,Missouri,Winter,11.5
2017,Montana,Summer,7.0
2017,Montana,Winter,7.0
2017,Nebraska,Summer,4.5
2017,Nebraska,Winter,9.0
2017,New Jersey,Summer,2.5
2017,New Jersey,Winter,5.5
2017,New Mexico,Summer,26.0
2017,New Mexico,Winter,30.5
2017,New York,Summer,7.0
2017,New York,Winter,18.0
2017,North Carolina,Summer,9.0
2017,North Carolina,Winter,16.5
2017,North Dakota,Summer,6.5
2017,North Dakota,Winter,6.0
2017,Ohio,Summer,8.0
2017,Ohio,Winter,18.0
2017,Oklahoma,Summer,6.5
2017,Oklahoma,Winter,4.0
2017,Oregon,Summer,9.0
2017,Oregon,Winter,8.5
2017,Other States,Summer,6.5
2017,Other States,Winter,16.5
2017,Pennsylvania,Summer,5.5
2017,Pennsylvania,Winter,19.0
2017,South Carolina,Summer,8.0
2017,South Carolina,Winter,8.5
2017,South Dakota,Summer,7.0
2017,South Dakota,Winter,7.0
2017,Tennessee,Summer,14.5
2017,Tennessee,Winter,14.0
2017,Texas,Summer,9.0
2017,Texas,Winter,12.0
2017,Utah,Summer,13.0
2017,Utah,Winter,10.0
2017,Vermont,Summer,2.0
2017,Vermont,Winter,5.5
2017,Virginia,Summer,10.5
2017,Virginia,Winter,14.0
2017,Washington,Summer,11.5
2017,Washington,Winter,9.0
2017,West Virginia,Summer,7.5
2017,West Virginia,Winter,11.5
2017,Wisconsin,Summer,10.5
2017,Wisconsin,Winter,16.5
2017,Wyoming,Summer,9.5
2017,Wyoming,Winter,14.5
2018,Alabama,Summer,15.0
2018,Alabama,Winter,12.0
2018,Arizona,Summer,19.5
2018,Arizona,Winter,22.5
2018,Arkansas,Summer,10.5
2018,Arkansas,Winter,32.0
2018,California,Summer,8.0
2018,California,Winter,13.5
2018,Colorado,Summer,11.5
2018,Colorado,Winter,22.0
2018,Connecticut,Summer,3.5
2018,Connecticut,Winter,6.5
2018,Florida,Summer,15.5
2018,Florida,Winter,17.5
2018,Georgia,Summer,12.0
2018,Georgia,Winter,16.0
2018,Hawaii,Summer,6.5
2018,Hawaii,Winter,6.0
2018,Idaho,Summer,9.5
2018,Idaho,Winter,9.0
2018,Illinois,Summer,13.0
2018,Illinois,Winter,18.0
2018,Indiana,Summer,14.5
2018,Indiana,Winter,14.0
2018,Iowa,Summer,7.5
2018,Iowa,Winter,8.5
2018,Kansas,Summer,10.0
2018,Kansas,Winter,19.5
2018,Kentucky,Summer,10.0
2018,Kentucky,Winter,20.5
2018,Louisiana,Summer,3.0
2018,Louisiana,Winter,6.0
2018,Maine,Summer,6.5
2018,Maine,Winter,7.0
2018,Maryland,Summer,5.0
2018,Maryland,Winter,15.5
2018,Massachusetts,Summer,12.5
2018,Massachusetts,Winter,22.0
2018,Michigan,Summer,9.0
2018,Michigan,Winter,18.5
2018,Minnesota,Summer,14.5
2018,Minnesota,Winter,6.5
2018,Mississippi,Summer,13.5
2018,Mississippi,Winter,10.5
2018,Missouri,Summer,5.5
2018,Missouri,Winter,13.5
2018,Montana,Summer,7.5
2018,Montana,Winter,11.0
2018,Nebraska,Summer,9.5
2018,Nebraska,Winter,10.5
2018,New Jersey,Summer,2.0
2018,New Jersey,Winter,9.5
2018,New Mexico,Summer,9.0
2018,New Mexico,Winter,38.0
2018,New York,Summer,8.0
2018,New York,Winter,11.0
2018,North Carolina,Summer,9.5
2018,North Carolina,Winter,22.5
2018,North Dakota,Summer,7.5
2018,North Dakota,Winter,4.5
2018,Ohio,Summer,8.0
2018,Ohio,Winter,22.0
2018,Oklahoma,Summer,14.0
2018,Oklahoma,Winter,21.0
2018,Oregon,Summer,7.0
2018,Oregon,Winter,8.0
2018,Other States,Summer,6.0
2018,Other States,Winter,17.0
2018,Pennsylvania,Summer,5.0
2018,Pennsylvania,Winter,16.5
2018,South Carolina,Summer,10.5
2018,South Carolina,Winter,12.5
2018,South Dakota,Summer,9.0
2018,South Dakota,Winter,3.5
2018,Tennessee,Summer,12.5
2018,Tennessee,Winter,21.0
2018,Texas,Summer,8.0
2018,Texas,Winter,7.5
2018,Utah,Summer,11.0
2018,Utah,Winter,5.5
2018,Vermont,Summer,4.5
2018,Vermont,Winter,8.5
