"","Year","Period","State","State.ANSI","colony_added","colony_max","colony_cd_loss","colony_loss","colony_loss_pct","Disesases","Other","Pesticides","Pests.excl.Varroa.mites","Unknown","Varroa.mites","colony_reno_pct"
"46",2022,"APR THRU JUN","WYOMING",56,"4,500","23,000","580","1,900","8","5.1","3","0","2.5","1","5.6","8"
"47",2022,"JAN THRU MAR","ALABAMA",1,"1,600","11,500","70","1,100","10","0","10.8","3.7","17","5.3","36.9","5"
"48",2022,"JAN THRU MAR","ARIZONA",4,"4,700","28,000","1,300","2,300","8","3","(Z)","(Z)","0","0.5","14.8","(Z)"
"49",2022,"JAN THRU MAR","ARKANSAS",5,"780","21,000","540","2,600","12","0","1.3","13.1","28.1","8.9","39.8","(Z)"
"50",2022,"JAN THRU MAR","CALIFORNIA",6,"139,000","1,330,000","14,000","163,000","12","3.3","3.9","5.3","7.2","4.2","29.7","7"
"51",2022,"JAN THRU MAR","COLORADO",8,"0","8,500","120","540","6","3.8","3.4","0.6","0","2.6","4","(Z)"
"52",2022,"JAN THRU MAR","CONNECTICUT",9,"500","4,000","70","420","11","1.4","3.5","(Z)","2.3","1.2","10.2","4"
"53",2022,"JAN THRU MAR","FLORIDA",12,"50,000","295,000","3,700","24,000","8","3.7","6.4","9.8","13.1","8.2","39","5"
"54",2022,"JAN THRU MAR","GEORGIA",13,"26,000","119,000","7,000","14,000","12","0.6","5.9","5.1","17.4","3","41.2","15"
"55",2022,"JAN THRU MAR","HAWAII",15,"2,600","21,000","0","1,600","8","0","3","0","76","0","76.1","5"
"56",2022,"JAN THRU MAR","IDAHO",16,"7,500","215,000","4,700","8,000","4","(Z)","1.4","15.5","1.1","1.3","57","(Z)"
"57",2022,"JAN THRU MAR","ILLINOIS",17,"900","11,500","390","2,200","19","2","5.4","4.3","6.9","10.6","20.1","1"
"58",2022,"JAN THRU MAR","INDIANA",18,"130","11,000","200","2,900","26","1.7","9.7","3.6","11.5","5.9","28.5","(Z)"
"59",2022,"JAN THRU MAR","IOWA",19,"610","29,000","500","2,800","10","0.7","1.6","0.9","13","5.1","29.7","(Z)"
"60",2022,"JAN THRU MAR","KANSAS",20,"140","5,000","110","520","10","3.7","4.2","1.7","21.8","5.1","37.8","1"
"61",2022,"JAN THRU MAR","KENTUCKY",21,"50","9,500","280","1,300","14","3","5.6","2.8","3.9","11","15.6","2"
"62",2022,"JAN THRU MAR","LOUISIANA",22,"7,000","42,000","770","6,000","14","0","0.6","0","48.1","7.6","61.1","5"
"63",2022,"JAN THRU MAR","MAINE",23,"300","7,000","170","340","5","0","7","0","1.2","1.2","7.3","2"
"64",2022,"JAN THRU MAR","MARYLAND",24,"1,800","7,500","130","1,900","25","0.6","12.1","2.3","7.4","13.6","13.7","13"
"65",2022,"JAN THRU MAR","MASSACHUSETTS",25,"350","6,000","40","950","16","0.7","1.6","0","2.9","2.7","13.4","9"
"66",2022,"JAN THRU MAR","MICHIGAN",26,"1,400","77,000","2,900","4,500","6","1.9","4.2","1.4","1.9","(Z)","6.1","3"
